campaign_id,customer_id,campaign_type,marketing_cost,conversion_status,revenue_generated
CMP-00997,CUST-01557,Meta Paid Ads,64.32,Converted,437.43
CMP-00998,CUST-02409,Email Retargeting,38.21,Converted,256.58
CMP-00999,CUST-03205,Affiliate Promo,79.24,Not Converted,0.0
CMP-01000,CUST-03288,Email Retargeting,78.85,Converted,608.03
CMP-01001,CUST-01065,Email Retargeting,5.96,Not Converted,0.0
CMP-01002,CUST-00113,Email Retargeting,9.64,Converted,57.0
CMP-01003,CUST-01871,Google PPC,23.77,Not Converted,0.0
CMP-01004,CUST-00990,Influencer Sponsor,18.75,Not Converted,0.0
CMP-01005,CUST-03326,Influencer Sponsor,82.84,Not Converted,0.0
CMP-01006,CUST-00983,Meta Paid Ads,71.03,Not Converted,0.0
CMP-01007,CUST-01675,Email Retargeting,29.36,Not Converted,0.0
CMP-01008,CUST-03317,Meta Paid Ads,61.03,Not Converted,0.0
CMP-01009,CUST-00462,Email Retargeting,78.35,Not Converted,0.0
CMP-01010,CUST-00131,Affiliate Promo,7.54,Not Converted,0.0
CMP-01011,CUST-02164,Influencer Sponsor,16.02,Converted,50.81
CMP-01012,CUST-02808,Meta Paid Ads,11.47,Not Converted,0.0
CMP-01013,CUST-00237,Google PPC,35.75,Not Converted,0.0
CMP-01014,CUST-00141,Meta Paid Ads,68.7,Not Converted,0.0
CMP-01015,CUST-02667,Email Retargeting,19.76,Converted,147.92
CMP-01016,CUST-02978,Email Retargeting,49.92,Not Converted,0.0
CMP-01017,CUST-01001,Meta Paid Ads,70.51,Not Converted,0.0
CMP-01018,CUST-02872,Email Retargeting,80.95,Not Converted,0.0
CMP-01019,CUST-03084,Email Retargeting,29.31,Not Converted,0.0
CMP-01020,CUST-02794,Email Retargeting,22.34,Not Converted,0.0
CMP-01021,CUST-01974,Email Retargeting,19.88,Not Converted,0.0
CMP-01022,CUST-02165,Influencer Sponsor,82.22,Not Converted,0.0
CMP-01023,CUST-02944,Influencer Sponsor,25.02,Not Converted,0.0
CMP-01024,CUST-01254,Email Retargeting,63.59,Converted,274.43
CMP-01025,CUST-00332,Influencer Sponsor,6.16,Not Converted,0.0
CMP-01026,CUST-02257,Google PPC,35.71,Not Converted,0.0
CMP-01027,CUST-03084,Google PPC,62.4,Not Converted,0.0
CMP-01028,CUST-00709,Meta Paid Ads,84.62,Not Converted,0.0
CMP-01029,CUST-00598,Meta Paid Ads,71.75,Not Converted,0.0
CMP-01030,CUST-01384,Email Retargeting,57.21,Not Converted,0.0
CMP-01031,CUST-00646,Google PPC,73.32,Converted,538.76
CMP-01032,CUST-00872,Email Retargeting,9.78,Not Converted,0.0
CMP-01033,CUST-01286,Google PPC,31.89,Not Converted,0.0
CMP-01034,CUST-03356,Meta Paid Ads,5.47,Converted,34.38
CMP-01035,CUST-01687,Google PPC,30.9,Not Converted,0.0
CMP-01036,CUST-00097,Meta Paid Ads,79.76,Not Converted,0.0
CMP-01037,CUST-03129,Influencer Sponsor,74.84,Converted,284.61
CMP-01038,CUST-00405,Google PPC,10.81,Not Converted,0.0
CMP-01039,CUST-00061,Email Retargeting,23.93,Not Converted,0.0
CMP-01040,CUST-02048,Influencer Sponsor,14.6,Converted,64.68
CMP-01041,CUST-01995,Email Retargeting,26.01,Converted,179.19
CMP-01042,CUST-02083,Affiliate Promo,38.04,Not Converted,0.0
CMP-01043,CUST-00769,Email Retargeting,50.96,Not Converted,0.0
CMP-01044,CUST-00764,Email Retargeting,31.67,Not Converted,0.0
CMP-01045,CUST-01528,Influencer Sponsor,6.58,Not Converted,0.0
CMP-01046,CUST-02190,Email Retargeting,20.52,Converted,91.07
CMP-01047,CUST-00426,Email Retargeting,39.17,Not Converted,0.0
CMP-01048,CUST-02615,Google PPC,12.69,Converted,89.03
CMP-01049,CUST-03260,Meta Paid Ads,25.95,Not Converted,0.0
CMP-01050,CUST-02095,Email Retargeting,84.86,Not Converted,0.0
CMP-01051,CUST-01815,Email Retargeting,46.49,Not Converted,0.0
CMP-01052,CUST-00180,Meta Paid Ads,80.03,Not Converted,0.0
CMP-01053,CUST-02962,Google PPC,51.14,Not Converted,0.0
CMP-01054,CUST-00815,Influencer Sponsor,37.63,Not Converted,0.0
CMP-01055,CUST-00904,Google PPC,76.26,Not Converted,0.0
CMP-01056,CUST-03085,Meta Paid Ads,58.32,Not Converted,0.0
CMP-01057,CUST-00388,Email Retargeting,39.16,Not Converted,0.0
CMP-01058,CUST-00311,Google PPC,78.15,Converted,215.79
CMP-01059,CUST-01184,Affiliate Promo,78.09,Not Converted,0.0
CMP-01060,CUST-01251,Meta Paid Ads,39.02,Not Converted,0.0
CMP-01061,CUST-00973,Influencer Sponsor,71.75,Not Converted,0.0
CMP-01062,CUST-02568,Email Retargeting,75.06,Not Converted,0.0
CMP-01063,CUST-01549,Email Retargeting,37.42,Converted,135.45
CMP-01064,CUST-01144,Google PPC,79.5,Not Converted,0.0
CMP-01065,CUST-00506,Google PPC,70.45,Not Converted,0.0
CMP-01066,CUST-02843,Google PPC,70.14,Not Converted,0.0
CMP-01067,CUST-00487,Affiliate Promo,39.75,Not Converted,0.0
CMP-01068,CUST-01106,Google PPC,21.99,Not Converted,0.0
CMP-01069,CUST-00371,Influencer Sponsor,64.58,Not Converted,0.0
CMP-01070,CUST-03127,Google PPC,36.26,Not Converted,0.0
CMP-01071,CUST-03273,Email Retargeting,21.01,Converted,85.24
CMP-01072,CUST-02034,Influencer Sponsor,58.41,Not Converted,0.0
CMP-01073,CUST-00838,Email Retargeting,33.14,Not Converted,0.0
CMP-01074,CUST-00077,Email Retargeting,28.33,Not Converted,0.0
CMP-01075,CUST-00758,Email Retargeting,70.61,Not Converted,0.0
CMP-01076,CUST-00587,Email Retargeting,40.73,Not Converted,0.0
CMP-01077,CUST-01027,Email Retargeting,37.38,Not Converted,0.0
CMP-01078,CUST-02041,Influencer Sponsor,41.64,Converted,203.83
CMP-01079,CUST-00046,Google PPC,16.58,Converted,92.4
CMP-01080,CUST-02699,Email Retargeting,53.99,Not Converted,0.0
CMP-01081,CUST-01782,Meta Paid Ads,70.16,Converted,447.44
CMP-01082,CUST-01722,Meta Paid Ads,66.57,Not Converted,0.0
CMP-01083,CUST-00100,Meta Paid Ads,32.47,Not Converted,0.0
CMP-01084,CUST-02952,Email Retargeting,65.28,Converted,241.18
CMP-01085,CUST-01678,Influencer Sponsor,60.9,Not Converted,0.0
CMP-01086,CUST-01355,Google PPC,82.05,Not Converted,0.0
CMP-01087,CUST-00907,Influencer Sponsor,43.54,Not Converted,0.0
CMP-01088,CUST-03023,Email Retargeting,26.19,Not Converted,0.0
CMP-01089,CUST-01036,Email Retargeting,41.87,Converted,148.67
CMP-01090,CUST-01403,Meta Paid Ads,71.73,Converted,211.05
CMP-01091,CUST-01233,Meta Paid Ads,45.53,Not Converted,0.0
CMP-01092,CUST-00107,Email Retargeting,29.28,Converted,215.7
CMP-01093,CUST-00908,Meta Paid Ads,36.91,Converted,236.87
CMP-01094,CUST-01025,Email Retargeting,19.78,Not Converted,0.0
CMP-01095,CUST-01831,Affiliate Promo,31.31,Not Converted,0.0
CMP-01096,CUST-00227,Email Retargeting,53.26,Converted,391.31
CMP-01097,CUST-01799,Influencer Sponsor,40.29,Not Converted,0.0
CMP-01098,CUST-01763,Meta Paid Ads,21.14,Not Converted,0.0
CMP-01099,CUST-00361,Google PPC,72.09,Not Converted,0.0
CMP-01100,CUST-00429,Affiliate Promo,63.54,Not Converted,0.0
CMP-01101,CUST-01501,Google PPC,26.37,Converted,112.5
CMP-01102,CUST-01426,Influencer Sponsor,20.5,Converted,96.61
CMP-01103,CUST-00598,Affiliate Promo,78.38,Not Converted,0.0
CMP-01104,CUST-02050,Affiliate Promo,9.33,Not Converted,0.0
CMP-01105,CUST-01301,Affiliate Promo,19.9,Not Converted,0.0
CMP-01106,CUST-03109,Influencer Sponsor,20.32,Not Converted,0.0
CMP-01107,CUST-01543,Google PPC,38.1,Not Converted,0.0
CMP-01108,CUST-02516,Google PPC,76.42,Not Converted,0.0
CMP-01109,CUST-01826,Meta Paid Ads,20.68,Converted,100.6
CMP-01110,CUST-00019,Email Retargeting,32.08,Not Converted,0.0
CMP-01111,CUST-02301,Google PPC,30.02,Not Converted,0.0
CMP-01112,CUST-01194,Influencer Sponsor,6.18,Not Converted,0.0
CMP-01113,CUST-01814,Affiliate Promo,46.83,Not Converted,0.0
CMP-01114,CUST-01776,Influencer Sponsor,20.06,Not Converted,0.0
CMP-01115,CUST-00692,Google PPC,82.44,Not Converted,0.0
CMP-01116,CUST-00316,Google PPC,33.73,Not Converted,0.0
CMP-01117,CUST-02117,Affiliate Promo,60.14,Converted,417.76
CMP-01118,CUST-00469,Email Retargeting,6.09,Converted,45.86
CMP-01119,CUST-00707,Google PPC,66.15,Converted,321.75
CMP-01120,CUST-01766,Influencer Sponsor,25.73,Not Converted,0.0
CMP-01121,CUST-01403,Google PPC,34.24,Not Converted,0.0
CMP-01122,CUST-01093,Meta Paid Ads,47.95,Not Converted,0.0
CMP-01123,CUST-02574,Meta Paid Ads,39.98,Not Converted,0.0
CMP-01124,CUST-01855,Influencer Sponsor,45.63,Not Converted,0.0
CMP-01125,CUST-00845,Email Retargeting,63.54,Not Converted,0.0
CMP-01126,CUST-00440,Google PPC,67.71,Converted,506.73
CMP-01127,CUST-03488,Affiliate Promo,67.63,Not Converted,0.0
CMP-01128,CUST-02454,Email Retargeting,82.01,Not Converted,0.0
CMP-01129,CUST-01128,Google PPC,78.12,Not Converted,0.0
CMP-01130,CUST-03454,Meta Paid Ads,21.87,Converted,130.43
CMP-01131,CUST-01038,Google PPC,6.37,Not Converted,0.0
CMP-01132,CUST-01357,Influencer Sponsor,83.46,Converted,449.93
CMP-01133,CUST-02132,Google PPC,22.09,Not Converted,0.0
CMP-01134,CUST-02624,Email Retargeting,72.01,Not Converted,0.0
CMP-01135,CUST-00558,Email Retargeting,79.43,Not Converted,0.0
CMP-01136,CUST-01973,Google PPC,57.51,Not Converted,0.0
CMP-01137,CUST-01431,Google PPC,84.77,Not Converted,0.0
CMP-01138,CUST-02670,Google PPC,35.14,Converted,256.28
CMP-01139,CUST-01688,Email Retargeting,19.22,Not Converted,0.0
CMP-01140,CUST-03302,Affiliate Promo,12.51,Converted,34.28
CMP-01141,CUST-00137,Influencer Sponsor,42.28,Not Converted,0.0
CMP-01142,CUST-02233,Google PPC,46.26,Not Converted,0.0
CMP-01143,CUST-00798,Influencer Sponsor,35.33,Converted,244.42
CMP-01144,CUST-02328,Meta Paid Ads,17.05,Not Converted,0.0
CMP-01145,CUST-02953,Meta Paid Ads,12.58,Not Converted,0.0
CMP-01146,CUST-00587,Email Retargeting,49.48,Not Converted,0.0
CMP-01147,CUST-02404,Google PPC,46.33,Not Converted,0.0
CMP-01148,CUST-02484,Google PPC,49.18,Not Converted,0.0
CMP-01149,CUST-00695,Email Retargeting,37.8,Converted,248.9
CMP-01150,CUST-00225,Influencer Sponsor,7.32,Converted,34.16
CMP-01151,CUST-03422,Google PPC,47.84,Not Converted,0.0
CMP-01152,CUST-02443,Email Retargeting,28.92,Not Converted,0.0
CMP-01153,CUST-00400,Meta Paid Ads,23.4,Not Converted,0.0
CMP-01154,CUST-01264,Email Retargeting,23.67,Not Converted,0.0
CMP-01155,CUST-03375,Influencer Sponsor,26.72,Not Converted,0.0
CMP-01156,CUST-03188,Google PPC,14.31,Not Converted,0.0
CMP-01157,CUST-02588,Meta Paid Ads,39.18,Not Converted,0.0
CMP-01158,CUST-01230,Email Retargeting,82.39,Not Converted,0.0
CMP-01159,CUST-03179,Influencer Sponsor,34.82,Not Converted,0.0
CMP-01160,CUST-03026,Email Retargeting,54.42,Not Converted,0.0
CMP-01161,CUST-01481,Influencer Sponsor,75.12,Converted,361.94
CMP-01162,CUST-01921,Email Retargeting,22.11,Not Converted,0.0
CMP-01163,CUST-03387,Email Retargeting,68.14,Not Converted,0.0
CMP-01164,CUST-02348,Google PPC,79.0,Not Converted,0.0
CMP-01165,CUST-03246,Email Retargeting,29.93,Not Converted,0.0
CMP-01166,CUST-01690,Influencer Sponsor,54.33,Not Converted,0.0
CMP-01167,CUST-01274,Google PPC,26.42,Not Converted,0.0
CMP-01168,CUST-00932,Meta Paid Ads,35.84,Not Converted,0.0
CMP-01169,CUST-00944,Email Retargeting,35.17,Not Converted,0.0
CMP-01170,CUST-02503,Meta Paid Ads,38.57,Not Converted,0.0
CMP-01171,CUST-00107,Google PPC,58.35,Not Converted,0.0
CMP-01172,CUST-00297,Google PPC,81.2,Not Converted,0.0
CMP-01173,CUST-00637,Email Retargeting,58.98,Not Converted,0.0
CMP-01174,CUST-02008,Influencer Sponsor,26.66,Not Converted,0.0
CMP-01175,CUST-02684,Google PPC,35.59,Converted,267.32
CMP-01176,CUST-00345,Google PPC,48.68,Not Converted,0.0
CMP-01177,CUST-03134,Email Retargeting,8.4,Converted,51.67
CMP-01178,CUST-03278,Google PPC,11.89,Not Converted,0.0
CMP-01179,CUST-02666,Affiliate Promo,39.41,Not Converted,0.0
CMP-01180,CUST-02261,Google PPC,42.83,Not Converted,0.0
CMP-01181,CUST-03189,Google PPC,43.59,Not Converted,0.0
CMP-01182,CUST-02345,Influencer Sponsor,42.56,Converted,236.58
CMP-01183,CUST-01468,Google PPC,48.16,Not Converted,0.0
CMP-01184,CUST-02793,Meta Paid Ads,64.09,Converted,457.7
CMP-01185,CUST-00362,Meta Paid Ads,16.2,Not Converted,0.0
CMP-01186,CUST-00383,Email Retargeting,52.15,Not Converted,0.0
CMP-01187,CUST-00603,Email Retargeting,68.3,Converted,519.72
CMP-01188,CUST-00115,Google PPC,54.18,Not Converted,0.0
CMP-01189,CUST-00612,Meta Paid Ads,66.92,Not Converted,0.0
CMP-01190,CUST-01637,Google PPC,9.35,Not Converted,0.0
CMP-01191,CUST-00361,Email Retargeting,8.99,Not Converted,0.0
CMP-01192,CUST-00144,Google PPC,51.5,Converted,135.29
CMP-01193,CUST-02219,Email Retargeting,78.74,Not Converted,0.0
CMP-01194,CUST-01688,Email Retargeting,43.7,Not Converted,0.0
CMP-01195,CUST-02917,Meta Paid Ads,28.36,Not Converted,0.0
CMP-01196,CUST-02230,Influencer Sponsor,16.76,Not Converted,0.0
CMP-01197,CUST-01302,Meta Paid Ads,38.24,Converted,148.98
CMP-01198,CUST-03252,Google PPC,48.76,Not Converted,0.0
CMP-01199,CUST-00438,Email Retargeting,78.33,Not Converted,0.0
CMP-01200,CUST-00031,Email Retargeting,49.81,Not Converted,0.0
CMP-01201,CUST-02147,Google PPC,74.07,Not Converted,0.0
CMP-01202,CUST-02529,Google PPC,52.67,Not Converted,0.0
CMP-01203,CUST-00865,Affiliate Promo,8.95,Not Converted,0.0
CMP-01204,CUST-02132,Google PPC,78.92,Not Converted,0.0
CMP-01205,CUST-03170,Email Retargeting,75.72,Not Converted,0.0
CMP-01206,CUST-00677,Email Retargeting,70.81,Not Converted,0.0
CMP-01207,CUST-02405,Influencer Sponsor,5.81,Not Converted,0.0
CMP-01208,CUST-01368,Email Retargeting,38.79,Not Converted,0.0
CMP-01209,CUST-02151,Google PPC,55.24,Converted,161.4
CMP-01210,CUST-00213,Email Retargeting,20.46,Not Converted,0.0
CMP-01211,CUST-01265,Influencer Sponsor,30.53,Converted,196.7
CMP-01212,CUST-00263,Google PPC,58.54,Not Converted,0.0
CMP-01213,CUST-01061,Email Retargeting,8.89,Not Converted,0.0
CMP-01214,CUST-02318,Meta Paid Ads,79.87,Not Converted,0.0
CMP-01215,CUST-02423,Email Retargeting,34.2,Not Converted,0.0
CMP-01216,CUST-00807,Influencer Sponsor,14.46,Not Converted,0.0
CMP-01217,CUST-01599,Google PPC,24.46,Converted,129.25
CMP-01218,CUST-01733,Email Retargeting,45.82,Converted,281.23
CMP-01219,CUST-03188,Google PPC,14.37,Converted,38.41
CMP-01220,CUST-01015,Affiliate Promo,61.34,Not Converted,0.0
CMP-01221,CUST-03136,Influencer Sponsor,5.28,Converted,36.59
CMP-01222,CUST-02609,Affiliate Promo,22.15,Not Converted,0.0
CMP-01223,CUST-03030,Email Retargeting,52.65,Converted,180.24
CMP-01224,CUST-00033,Email Retargeting,67.13,Not Converted,0.0
CMP-01225,CUST-02740,Influencer Sponsor,53.41,Not Converted,0.0
CMP-01226,CUST-03344,Google PPC,51.63,Not Converted,0.0
CMP-01227,CUST-02171,Google PPC,25.75,Not Converted,0.0
CMP-01228,CUST-01286,Email Retargeting,27.39,Not Converted,0.0
CMP-01229,CUST-03113,Meta Paid Ads,7.05,Not Converted,0.0
CMP-01230,CUST-00026,Influencer Sponsor,45.48,Not Converted,0.0
CMP-01231,CUST-01794,Meta Paid Ads,25.13,Not Converted,0.0
CMP-01232,CUST-00136,Affiliate Promo,39.87,Not Converted,0.0
CMP-01233,CUST-02787,Email Retargeting,81.31,Not Converted,0.0
CMP-01234,CUST-00562,Email Retargeting,81.94,Converted,347.87
CMP-01235,CUST-02312,Meta Paid Ads,31.08,Not Converted,0.0
CMP-01236,CUST-00070,Meta Paid Ads,50.33,Not Converted,0.0
CMP-01237,CUST-01200,Influencer Sponsor,52.71,Not Converted,0.0
CMP-01238,CUST-00004,Influencer Sponsor,71.69,Not Converted,0.0
CMP-01239,CUST-00313,Google PPC,50.66,Converted,356.18
CMP-01240,CUST-02887,Influencer Sponsor,12.13,Not Converted,0.0
CMP-01241,CUST-00520,Influencer Sponsor,48.07,Not Converted,0.0
CMP-01242,CUST-00711,Meta Paid Ads,35.87,Not Converted,0.0
CMP-01243,CUST-02567,Email Retargeting,80.65,Not Converted,0.0
CMP-01244,CUST-03314,Affiliate Promo,20.69,Converted,95.68
CMP-01245,CUST-01331,Meta Paid Ads,49.96,Converted,158.76
CMP-01246,CUST-00603,Email Retargeting,83.41,Not Converted,0.0
CMP-01247,CUST-02062,Affiliate Promo,49.14,Not Converted,0.0
CMP-01248,CUST-01351,Google PPC,81.69,Not Converted,0.0
CMP-01249,CUST-01890,Google PPC,42.79,Not Converted,0.0
CMP-01250,CUST-02452,Email Retargeting,34.22,Not Converted,0.0
CMP-01251,CUST-01133,Meta Paid Ads,63.43,Not Converted,0.0
CMP-01252,CUST-00420,Affiliate Promo,68.24,Converted,426.16
CMP-01253,CUST-02886,Email Retargeting,33.78,Not Converted,0.0
CMP-01254,CUST-01449,Meta Paid Ads,43.09,Not Converted,0.0
CMP-01255,CUST-01109,Influencer Sponsor,57.95,Converted,293.52
CMP-01256,CUST-02876,Google PPC,17.82,Not Converted,0.0
CMP-01257,CUST-01909,Google PPC,58.92,Converted,170.81
CMP-01258,CUST-01027,Google PPC,15.77,Not Converted,0.0
CMP-01259,CUST-02522,Email Retargeting,69.55,Not Converted,0.0
CMP-01260,CUST-01498,Google PPC,74.75,Converted,487.75
CMP-01261,CUST-01577,Google PPC,17.97,Converted,45.12
CMP-01262,CUST-01050,Google PPC,45.29,Not Converted,0.0
CMP-01263,CUST-02395,Google PPC,34.35,Not Converted,0.0
CMP-01264,CUST-01340,Meta Paid Ads,12.54,Not Converted,0.0
CMP-01265,CUST-00709,Email Retargeting,48.77,Not Converted,0.0
CMP-01266,CUST-03009,Email Retargeting,36.78,Converted,131.65
CMP-01267,CUST-00005,Email Retargeting,43.76,Not Converted,0.0
CMP-01268,CUST-00589,Google PPC,38.08,Not Converted,0.0
CMP-01269,CUST-01364,Email Retargeting,42.64,Not Converted,0.0
CMP-01270,CUST-02337,Influencer Sponsor,59.21,Not Converted,0.0
CMP-01271,CUST-02381,Google PPC,16.35,Not Converted,0.0
CMP-01272,CUST-01584,Meta Paid Ads,45.39,Not Converted,0.0
CMP-01273,CUST-02647,Influencer Sponsor,17.21,Not Converted,0.0
CMP-01274,CUST-00672,Google PPC,13.07,Not Converted,0.0
CMP-01275,CUST-01576,Google PPC,77.28,Not Converted,0.0
CMP-01276,CUST-01692,Affiliate Promo,7.42,Not Converted,0.0
CMP-01277,CUST-01731,Google PPC,31.04,Not Converted,0.0
CMP-01278,CUST-01952,Meta Paid Ads,61.68,Not Converted,0.0
CMP-01279,CUST-01610,Email Retargeting,19.71,Not Converted,0.0
CMP-01280,CUST-02142,Email Retargeting,7.04,Not Converted,0.0
CMP-01281,CUST-03366,Meta Paid Ads,60.81,Not Converted,0.0
CMP-01282,CUST-02875,Email Retargeting,39.63,Not Converted,0.0
CMP-01283,CUST-01366,Google PPC,53.81,Not Converted,0.0
CMP-01284,CUST-03043,Influencer Sponsor,74.34,Not Converted,0.0
CMP-01285,CUST-02701,Email Retargeting,36.68,Not Converted,0.0
CMP-01286,CUST-00938,Meta Paid Ads,44.15,Not Converted,0.0
CMP-01287,CUST-03166,Meta Paid Ads,50.4,Not Converted,0.0
CMP-01288,CUST-00584,Google PPC,78.44,Not Converted,0.0
CMP-01289,CUST-00938,Influencer Sponsor,63.29,Not Converted,0.0
CMP-01290,CUST-02381,Google PPC,9.14,Converted,71.86
CMP-01291,CUST-03442,Meta Paid Ads,27.97,Not Converted,0.0
CMP-01292,CUST-02297,Google PPC,24.84,Not Converted,0.0
CMP-01293,CUST-00075,Meta Paid Ads,56.55,Converted,302.98
CMP-01294,CUST-00120,Google PPC,29.53,Not Converted,0.0
CMP-01295,CUST-01985,Influencer Sponsor,36.4,Not Converted,0.0
CMP-01296,CUST-01103,Google PPC,18.89,Not Converted,0.0
CMP-01297,CUST-00080,Influencer Sponsor,24.69,Not Converted,0.0
CMP-01298,CUST-03484,Email Retargeting,54.97,Not Converted,0.0
CMP-01299,CUST-00741,Email Retargeting,83.24,Not Converted,0.0
CMP-01300,CUST-03312,Meta Paid Ads,8.67,Not Converted,0.0
CMP-01301,CUST-02012,Email Retargeting,79.64,Not Converted,0.0
CMP-01302,CUST-02338,Google PPC,33.4,Not Converted,0.0
CMP-01303,CUST-01228,Meta Paid Ads,34.79,Not Converted,0.0
CMP-01304,CUST-02852,Email Retargeting,64.59,Not Converted,0.0
CMP-01305,CUST-03059,Google PPC,83.48,Not Converted,0.0
CMP-01306,CUST-02411,Email Retargeting,11.25,Converted,64.1
CMP-01307,CUST-01251,Email Retargeting,68.66,Not Converted,0.0
CMP-01308,CUST-02561,Google PPC,82.89,Not Converted,0.0
CMP-01309,CUST-01407,Affiliate Promo,46.22,Not Converted,0.0
CMP-01310,CUST-00143,Google PPC,84.17,Converted,376.05
CMP-01311,CUST-00774,Email Retargeting,63.97,Not Converted,0.0
CMP-01312,CUST-02575,Influencer Sponsor,30.92,Not Converted,0.0
CMP-01313,CUST-02838,Email Retargeting,39.29,Not Converted,0.0
CMP-01314,CUST-02681,Email Retargeting,76.45,Not Converted,0.0
CMP-01315,CUST-01253,Influencer Sponsor,61.45,Converted,432.82
CMP-01316,CUST-03229,Email Retargeting,43.25,Not Converted,0.0
CMP-01317,CUST-03304,Google PPC,70.92,Not Converted,0.0
CMP-01318,CUST-00423,Email Retargeting,20.15,Converted,118.62
CMP-01319,CUST-02752,Google PPC,16.9,Not Converted,0.0
CMP-01320,CUST-00508,Email Retargeting,42.88,Not Converted,0.0
CMP-01321,CUST-00813,Meta Paid Ads,9.25,Not Converted,0.0
CMP-01322,CUST-01880,Meta Paid Ads,54.14,Not Converted,0.0
CMP-01323,CUST-02614,Google PPC,7.43,Not Converted,0.0
CMP-01324,CUST-00815,Affiliate Promo,35.11,Not Converted,0.0
CMP-01325,CUST-00665,Affiliate Promo,46.98,Not Converted,0.0
CMP-01326,CUST-02160,Meta Paid Ads,31.36,Not Converted,0.0
CMP-01327,CUST-01985,Google PPC,57.79,Not Converted,0.0
CMP-01328,CUST-01098,Google PPC,36.6,Converted,97.32
CMP-01329,CUST-02202,Google PPC,20.26,Not Converted,0.0
CMP-01330,CUST-01523,Affiliate Promo,25.53,Not Converted,0.0
CMP-01331,CUST-02859,Email Retargeting,18.34,Not Converted,0.0
CMP-01332,CUST-02665,Email Retargeting,19.31,Not Converted,0.0
CMP-01333,CUST-00948,Email Retargeting,81.26,Not Converted,0.0
CMP-01334,CUST-01258,Influencer Sponsor,23.0,Converted,143.25
CMP-01335,CUST-02200,Meta Paid Ads,31.18,Not Converted,0.0
CMP-01336,CUST-01349,Google PPC,77.14,Not Converted,0.0
CMP-01337,CUST-00852,Google PPC,80.43,Not Converted,0.0
CMP-01338,CUST-00341,Email Retargeting,7.97,Not Converted,0.0
CMP-01339,CUST-02618,Google PPC,52.16,Converted,279.6
CMP-01340,CUST-03372,Meta Paid Ads,33.31,Converted,107.93
CMP-01341,CUST-00875,Email Retargeting,10.8,Not Converted,0.0
CMP-01342,CUST-02300,Email Retargeting,35.04,Not Converted,0.0
CMP-01343,CUST-02199,Influencer Sponsor,44.52,Converted,152.8
CMP-01344,CUST-02905,Google PPC,83.21,Not Converted,0.0
CMP-01345,CUST-00985,Email Retargeting,53.13,Not Converted,0.0
CMP-01346,CUST-00819,Meta Paid Ads,75.52,Not Converted,0.0
CMP-01347,CUST-02218,Google PPC,38.72,Not Converted,0.0
CMP-01348,CUST-03457,Affiliate Promo,6.92,Converted,40.42
CMP-01349,CUST-02650,Meta Paid Ads,12.29,Not Converted,0.0
CMP-01350,CUST-03231,Meta Paid Ads,57.77,Not Converted,0.0
CMP-01351,CUST-02220,Email Retargeting,73.0,Converted,438.22
CMP-01352,CUST-01617,Affiliate Promo,55.12,Not Converted,0.0
CMP-01353,CUST-00052,Google PPC,54.3,Not Converted,0.0
CMP-01354,CUST-01192,Influencer Sponsor,38.71,Not Converted,0.0
CMP-01355,CUST-01277,Google PPC,13.28,Converted,74.36
CMP-01356,CUST-01864,Google PPC,35.24,Converted,95.69
CMP-01357,CUST-00348,Meta Paid Ads,9.43,Not Converted,0.0
CMP-01358,CUST-03117,Email Retargeting,9.19,Converted,37.34
CMP-01359,CUST-01154,Google PPC,52.63,Not Converted,0.0
CMP-01360,CUST-02491,Google PPC,60.63,Not Converted,0.0
CMP-01361,CUST-01174,Influencer Sponsor,53.22,Not Converted,0.0
CMP-01362,CUST-02351,Google PPC,8.67,Converted,66.33
CMP-01363,CUST-02528,Affiliate Promo,12.82,Not Converted,0.0
CMP-01364,CUST-01882,Google PPC,22.6,Not Converted,0.0
CMP-01365,CUST-02746,Google PPC,43.96,Not Converted,0.0
CMP-01366,CUST-01007,Email Retargeting,77.72,Not Converted,0.0
CMP-01367,CUST-00957,Influencer Sponsor,60.68,Not Converted,0.0
CMP-01368,CUST-02690,Meta Paid Ads,32.91,Not Converted,0.0
CMP-01369,CUST-02925,Google PPC,44.03,Not Converted,0.0
CMP-01370,CUST-02676,Meta Paid Ads,39.75,Not Converted,0.0
CMP-01371,CUST-02269,Email Retargeting,74.52,Not Converted,0.0
CMP-01372,CUST-02771,Email Retargeting,54.93,Converted,352.1
CMP-01373,CUST-01754,Meta Paid Ads,65.18,Not Converted,0.0
CMP-01374,CUST-00866,Email Retargeting,36.4,Not Converted,0.0
CMP-01375,CUST-01185,Meta Paid Ads,74.67,Not Converted,0.0
CMP-01376,CUST-02148,Affiliate Promo,73.77,Not Converted,0.0
CMP-01377,CUST-01077,Email Retargeting,7.3,Not Converted,0.0
CMP-01378,CUST-02905,Email Retargeting,37.58,Not Converted,0.0
CMP-01379,CUST-03020,Email Retargeting,59.36,Not Converted,0.0
CMP-01380,CUST-01450,Affiliate Promo,36.95,Not Converted,0.0
CMP-01381,CUST-00998,Affiliate Promo,28.37,Not Converted,0.0
CMP-01382,CUST-02537,Google PPC,9.42,Not Converted,0.0
CMP-01383,CUST-01700,Meta Paid Ads,6.05,Not Converted,0.0
CMP-01384,CUST-02334,Google PPC,23.1,Not Converted,0.0
CMP-01385,CUST-02494,Meta Paid Ads,22.17,Not Converted,0.0
CMP-01386,CUST-02359,Meta Paid Ads,11.63,Not Converted,0.0
