ticket_id,customer_id,issue_type,resolution_time,satisfaction_score,refund_requested
TCK-000461,CUST-03186,Damaged Item,48.7,3,No
TCK-000462,CUST-00279,Late Delivery,44.8,2,Yes
TCK-000463,CUST-02311,Damaged Item,32.8,1,Yes
TCK-000464,CUST-02443,Account Security,7.4,3,No
TCK-000465,CUST-01340,Late Delivery,55.1,2,No
TCK-000466,CUST-00312,Late Delivery,63.4,3,Yes
TCK-000467,CUST-02786,Late Delivery,26.5,2,Yes
TCK-000468,CUST-00536,Wrong Item Sent,10.3,3,No
TCK-000469,CUST-01837,Damaged Item,43.0,3,Yes
TCK-000470,CUST-02998,Late Delivery,25.2,2,No
TCK-000471,CUST-02317,Damaged Item,23.0,3,No
TCK-000472,CUST-00568,Late Delivery,25.8,3,Yes
TCK-000473,CUST-00777,Payment Issue,8.6,4,No
TCK-000474,CUST-01820,Payment Issue,19.5,2,No
TCK-000475,CUST-01465,Damaged Item,56.9,4,Yes
TCK-000476,CUST-00218,Late Delivery,48.5,1,Yes
TCK-000477,CUST-01518,Account Security,4.2,4,No
TCK-000478,CUST-02093,Damaged Item,55.7,2,No
TCK-000479,CUST-01527,Late Delivery,25.9,2,Yes
TCK-000480,CUST-01228,Late Delivery,44.9,1,No
TCK-000481,CUST-00377,Wrong Item Sent,2.5,4,No
TCK-000482,CUST-00352,Payment Issue,1.8,4,No
TCK-000483,CUST-01115,Damaged Item,44.0,1,Yes
TCK-000484,CUST-01009,Refund Inquiry,15.5,4,No
TCK-000485,CUST-00506,Late Delivery,64.1,2,No
TCK-000486,CUST-00811,Wrong Item Sent,19.9,5,No
TCK-000487,CUST-01365,Refund Inquiry,19.1,4,Yes
TCK-000488,CUST-01258,Refund Inquiry,9.6,5,No
TCK-000489,CUST-00631,Late Delivery,28.3,3,Yes
TCK-000490,CUST-01914,Late Delivery,21.5,2,Yes
TCK-000491,CUST-01761,Damaged Item,48.1,3,Yes
TCK-000492,CUST-01130,Late Delivery,22.8,1,Yes
TCK-000493,CUST-01333,Damaged Item,31.6,2,Yes
TCK-000494,CUST-00094,Late Delivery,50.4,1,No
TCK-000495,CUST-01880,Late Delivery,69.2,1,Yes
TCK-000496,CUST-03104,Late Delivery,31.3,3,No
TCK-000497,CUST-00446,Late Delivery,67.4,2,No
TCK-000498,CUST-01187,Account Security,7.3,4,No
TCK-000499,CUST-00382,Late Delivery,38.9,1,Yes
TCK-000500,CUST-02794,Late Delivery,18.8,3,Yes
TCK-000501,CUST-01114,Damaged Item,45.2,2,No
TCK-000502,CUST-02525,Payment Issue,18.5,5,No
TCK-000503,CUST-01004,Payment Issue,9.3,4,No
TCK-000504,CUST-03452,Wrong Item Sent,6.7,4,Yes
TCK-000505,CUST-00629,Late Delivery,15.4,3,No
TCK-000506,CUST-03151,Account Security,19.6,3,No
TCK-000507,CUST-03079,Late Delivery,67.0,3,Yes
TCK-000508,CUST-01402,Wrong Item Sent,15.4,3,No
TCK-000509,CUST-02954,Damaged Item,45.9,4,No
TCK-000510,CUST-02102,Wrong Item Sent,3.9,4,No
TCK-000511,CUST-01873,Wrong Item Sent,7.5,5,No
TCK-000512,CUST-00765,Late Delivery,41.0,3,No
TCK-000513,CUST-01634,Wrong Item Sent,20.3,4,Yes
TCK-000514,CUST-01710,Account Security,2.3,3,No
TCK-000515,CUST-03047,Late Delivery,46.1,2,No
TCK-000516,CUST-01485,Late Delivery,24.4,1,Yes
TCK-000517,CUST-01455,Refund Inquiry,3.6,4,Yes
TCK-000518,CUST-01694,Payment Issue,23.0,3,No
TCK-000519,CUST-02438,Wrong Item Sent,4.0,4,No
TCK-000520,CUST-01066,Damaged Item,54.1,2,No
TCK-000521,CUST-02250,Payment Issue,14.3,3,Yes
TCK-000522,CUST-00002,Damaged Item,58.4,4,No
TCK-000523,CUST-03302,Damaged Item,13.8,4,No
TCK-000524,CUST-02613,Damaged Item,58.7,1,Yes
TCK-000525,CUST-02939,Payment Issue,2.6,1,No
TCK-000526,CUST-01030,Payment Issue,10.5,3,No
TCK-000527,CUST-00640,Damaged Item,38.8,1,Yes
TCK-000528,CUST-01043,Damaged Item,51.9,1,Yes
TCK-000529,CUST-02508,Payment Issue,21.8,3,No
TCK-000530,CUST-00632,Payment Issue,13.1,4,No
TCK-000531,CUST-02400,Late Delivery,69.6,3,Yes
TCK-000532,CUST-02389,Payment Issue,10.0,3,No
TCK-000533,CUST-01536,Damaged Item,18.9,1,Yes
TCK-000534,CUST-00550,Damaged Item,46.3,2,No
TCK-000535,CUST-00195,Wrong Item Sent,13.1,5,No
TCK-000536,CUST-00166,Late Delivery,59.5,2,Yes
TCK-000537,CUST-03264,Refund Inquiry,13.8,3,No
TCK-000538,CUST-00962,Refund Inquiry,3.4,3,No
TCK-000539,CUST-02057,Damaged Item,21.7,2,Yes
TCK-000540,CUST-00260,Late Delivery,20.9,1,No
TCK-000541,CUST-01975,Payment Issue,1.5,3,Yes
TCK-000542,CUST-03481,Late Delivery,16.7,3,Yes
TCK-000543,CUST-02110,Payment Issue,13.4,3,No
TCK-000544,CUST-00094,Late Delivery,32.6,4,No
TCK-000545,CUST-02711,Damaged Item,22.1,1,No
TCK-000546,CUST-01440,Damaged Item,44.1,1,Yes
TCK-000547,CUST-02437,Damaged Item,28.1,3,Yes
TCK-000548,CUST-02580,Payment Issue,3.0,3,No
TCK-000549,CUST-02564,Wrong Item Sent,23.3,4,No
TCK-000550,CUST-00051,Late Delivery,17.1,3,No
TCK-000551,CUST-03440,Damaged Item,16.7,2,Yes
TCK-000552,CUST-00399,Payment Issue,14.2,2,Yes
TCK-000553,CUST-01403,Late Delivery,32.1,1,Yes
TCK-000554,CUST-02226,Damaged Item,61.8,1,Yes
TCK-000555,CUST-00583,Damaged Item,30.8,2,Yes
TCK-000556,CUST-01893,Late Delivery,57.1,4,Yes
TCK-000557,CUST-02060,Late Delivery,33.2,3,Yes
TCK-000558,CUST-03043,Late Delivery,58.6,2,Yes
TCK-000559,CUST-01384,Late Delivery,71.0,1,No
TCK-000560,CUST-01151,Payment Issue,9.2,3,No
TCK-000561,CUST-02384,Damaged Item,19.2,5,Yes
TCK-000562,CUST-02528,Late Delivery,17.1,2,Yes
TCK-000563,CUST-00558,Account Security,1.6,5,No
TCK-000564,CUST-02602,Damaged Item,37.7,2,Yes
TCK-000565,CUST-01672,Payment Issue,17.4,3,No
TCK-000566,CUST-01233,Late Delivery,62.0,1,No
TCK-000567,CUST-03069,Refund Inquiry,8.5,4,No
TCK-000568,CUST-01296,Damaged Item,59.9,3,No
TCK-000569,CUST-00599,Wrong Item Sent,6.0,5,No
TCK-000570,CUST-03416,Refund Inquiry,15.9,3,No
TCK-000571,CUST-02961,Late Delivery,47.8,3,No
TCK-000572,CUST-00739,Wrong Item Sent,5.3,4,No
TCK-000573,CUST-01384,Refund Inquiry,18.1,2,No
TCK-000574,CUST-03041,Wrong Item Sent,23.4,2,No
TCK-000575,CUST-01574,Payment Issue,14.7,3,No
TCK-000576,CUST-02699,Late Delivery,23.0,1,Yes
TCK-000577,CUST-00145,Late Delivery,51.3,3,No
TCK-000578,CUST-01190,Damaged Item,22.2,1,Yes
TCK-000579,CUST-00576,Wrong Item Sent,21.8,5,No
TCK-000580,CUST-01421,Late Delivery,63.4,3,Yes
TCK-000581,CUST-00446,Late Delivery,34.6,1,No
TCK-000582,CUST-00082,Payment Issue,13.1,4,Yes
TCK-000583,CUST-01567,Refund Inquiry,6.6,2,No
TCK-000584,CUST-00416,Wrong Item Sent,4.4,1,No
TCK-000585,CUST-00119,Refund Inquiry,16.1,5,No
TCK-000586,CUST-02684,Account Security,23.5,5,No
TCK-000587,CUST-01157,Late Delivery,59.9,3,No
TCK-000588,CUST-03395,Account Security,23.9,2,Yes
TCK-000589,CUST-00482,Payment Issue,21.3,4,Yes
TCK-000590,CUST-02880,Payment Issue,5.3,4,No
TCK-000591,CUST-00543,Damaged Item,21.3,3,Yes
TCK-000592,CUST-01450,Damaged Item,22.6,2,No
TCK-000593,CUST-00161,Late Delivery,61.4,4,No
TCK-000594,CUST-02148,Late Delivery,48.4,1,Yes
TCK-000595,CUST-01291,Refund Inquiry,17.6,4,No
TCK-000596,CUST-03130,Refund Inquiry,21.9,3,No
TCK-000597,CUST-01643,Account Security,12.7,4,No
TCK-000598,CUST-00113,Damaged Item,21.0,2,Yes
TCK-000599,CUST-00910,Damaged Item,71.7,1,No
TCK-000600,CUST-02255,Late Delivery,33.9,1,Yes
TCK-000601,CUST-02574,Late Delivery,49.4,2,Yes
TCK-000602,CUST-00852,Refund Inquiry,11.1,5,No
TCK-000603,CUST-03097,Account Security,4.7,4,Yes
TCK-000604,CUST-02232,Late Delivery,43.8,2,No
TCK-000605,CUST-01216,Late Delivery,47.8,1,Yes
TCK-000606,CUST-01880,Wrong Item Sent,13.4,5,No
TCK-000607,CUST-01359,Damaged Item,36.1,3,Yes
TCK-000608,CUST-02510,Payment Issue,9.8,4,Yes
TCK-000609,CUST-01248,Wrong Item Sent,19.9,3,No
TCK-000610,CUST-00826,Account Security,14.3,2,No
TCK-000611,CUST-00282,Damaged Item,63.9,3,Yes
TCK-000612,CUST-00131,Late Delivery,47.5,3,No
TCK-000613,CUST-03134,Wrong Item Sent,18.6,4,No
TCK-000614,CUST-00142,Late Delivery,36.4,3,Yes
TCK-000615,CUST-00796,Payment Issue,14.5,4,No
TCK-000616,CUST-00072,Account Security,7.7,5,No
TCK-000617,CUST-00720,Damaged Item,48.7,1,Yes
TCK-000618,CUST-01533,Wrong Item Sent,17.1,5,No
TCK-000619,CUST-01292,Wrong Item Sent,10.5,5,No
TCK-000620,CUST-00227,Late Delivery,35.1,1,Yes
TCK-000621,CUST-00580,Account Security,16.3,5,No
TCK-000622,CUST-03272,Late Delivery,27.6,1,Yes
TCK-000623,CUST-03497,Late Delivery,20.4,4,Yes
TCK-000624,CUST-00664,Late Delivery,46.3,1,No
TCK-000625,CUST-03373,Refund Inquiry,4.8,4,No
TCK-000626,CUST-02258,Refund Inquiry,2.1,4,No
TCK-000627,CUST-03034,Payment Issue,13.7,4,No
TCK-000628,CUST-02600,Refund Inquiry,21.6,4,No
TCK-000629,CUST-01788,Late Delivery,62.6,3,No
TCK-000630,CUST-02834,Wrong Item Sent,14.1,5,No
TCK-000631,CUST-02281,Account Security,19.9,3,Yes
TCK-000632,CUST-01077,Late Delivery,63.4,3,No
TCK-000633,CUST-02845,Refund Inquiry,22.3,4,No
TCK-000634,CUST-01177,Damaged Item,13.9,2,Yes
TCK-000635,CUST-01864,Account Security,8.9,4,No
TCK-000636,CUST-00002,Damaged Item,66.8,2,No
TCK-000637,CUST-01283,Payment Issue,19.1,2,Yes
TCK-000638,CUST-02281,Late Delivery,17.8,3,No
TCK-000639,CUST-00163,Wrong Item Sent,8.9,3,No
TCK-000640,CUST-00804,Refund Inquiry,4.6,5,No
TCK-000641,CUST-03049,Late Delivery,23.2,1,Yes
TCK-000642,CUST-01289,Refund Inquiry,3.5,3,No
TCK-000643,CUST-02239,Late Delivery,23.4,1,No
TCK-000644,CUST-02032,Payment Issue,16.6,4,No
TCK-000645,CUST-00231,Payment Issue,7.3,5,No
TCK-000646,CUST-01931,Refund Inquiry,1.2,5,No
TCK-000647,CUST-02976,Payment Issue,17.6,2,No
TCK-000648,CUST-02947,Late Delivery,39.3,1,Yes
TCK-000649,CUST-00709,Payment Issue,22.1,2,No
TCK-000650,CUST-02498,Damaged Item,27.2,1,Yes
TCK-000651,CUST-00150,Damaged Item,12.3,2,Yes
TCK-000652,CUST-00255,Wrong Item Sent,9.7,5,No
TCK-000653,CUST-03353,Account Security,8.5,4,No
TCK-000654,CUST-02265,Late Delivery,13.0,3,Yes
TCK-000655,CUST-02778,Late Delivery,47.6,2,Yes
TCK-000656,CUST-01841,Payment Issue,23.3,4,No
TCK-000657,CUST-02394,Refund Inquiry,12.1,4,No
TCK-000658,CUST-02181,Account Security,19.8,5,No
TCK-000659,CUST-02764,Damaged Item,63.6,2,Yes
TCK-000660,CUST-01518,Late Delivery,51.0,3,Yes
TCK-000661,CUST-02130,Damaged Item,13.0,4,No
TCK-000662,CUST-03202,Payment Issue,2.6,3,No
TCK-000663,CUST-02576,Damaged Item,64.6,3,No
TCK-000664,CUST-00770,Wrong Item Sent,5.4,4,No
TCK-000665,CUST-01475,Refund Inquiry,17.3,4,No
TCK-000666,CUST-00031,Wrong Item Sent,21.5,5,No
TCK-000667,CUST-01506,Damaged Item,39.7,2,No
TCK-000668,CUST-00395,Account Security,3.4,4,No
TCK-000669,CUST-02438,Late Delivery,12.9,1,Yes
TCK-000670,CUST-00341,Wrong Item Sent,23.0,5,No
TCK-000671,CUST-01498,Damaged Item,23.8,2,No
TCK-000672,CUST-00049,Payment Issue,18.8,3,No
TCK-000673,CUST-01081,Payment Issue,3.4,3,No
TCK-000674,CUST-02506,Damaged Item,16.4,3,Yes
TCK-000675,CUST-03251,Account Security,7.3,5,No
TCK-000676,CUST-01297,Payment Issue,6.1,4,Yes
TCK-000677,CUST-02544,Wrong Item Sent,17.0,3,No
TCK-000678,CUST-00499,Late Delivery,48.1,3,Yes
TCK-000679,CUST-00800,Refund Inquiry,13.9,5,No
TCK-000680,CUST-00239,Account Security,14.1,3,No
TCK-000681,CUST-02328,Damaged Item,65.1,2,No
TCK-000682,CUST-02673,Refund Inquiry,12.7,2,No
TCK-000683,CUST-01683,Account Security,23.5,3,Yes
TCK-000684,CUST-00635,Late Delivery,53.0,4,Yes
TCK-000685,CUST-03423,Damaged Item,54.9,3,Yes
TCK-000686,CUST-02833,Late Delivery,19.9,1,Yes
TCK-000687,CUST-02465,Payment Issue,18.1,3,No
TCK-000688,CUST-00620,Damaged Item,41.8,4,No
TCK-000689,CUST-00860,Late Delivery,16.2,2,Yes
TCK-000690,CUST-01243,Account Security,21.3,5,No
TCK-000691,CUST-02538,Payment Issue,4.7,5,No
TCK-000692,CUST-01989,Payment Issue,13.7,5,Yes
TCK-000693,CUST-03229,Payment Issue,11.0,3,No
TCK-000694,CUST-02832,Refund Inquiry,6.3,4,No
TCK-000695,CUST-03133,Late Delivery,27.9,3,Yes
TCK-000696,CUST-01256,Wrong Item Sent,21.2,4,No
TCK-000697,CUST-02362,Payment Issue,9.4,3,Yes
TCK-000698,CUST-00354,Refund Inquiry,15.8,4,No
TCK-000699,CUST-00960,Late Delivery,13.6,3,No
TCK-000700,CUST-01483,Late Delivery,37.5,4,No
TCK-000701,CUST-02025,Damaged Item,17.7,1,No
TCK-000702,CUST-00531,Late Delivery,67.8,2,No
TCK-000703,CUST-02456,Damaged Item,44.0,3,Yes
TCK-000704,CUST-01108,Late Delivery,22.4,2,No
TCK-000705,CUST-02371,Account Security,23.1,5,No
TCK-000706,CUST-01632,Late Delivery,38.5,5,Yes
TCK-000707,CUST-00640,Payment Issue,18.1,3,No
TCK-000708,CUST-02700,Late Delivery,68.6,2,Yes
TCK-000709,CUST-01552,Wrong Item Sent,13.8,4,No
TCK-000710,CUST-00109,Wrong Item Sent,14.6,5,No
TCK-000711,CUST-02985,Late Delivery,14.9,2,No
TCK-000712,CUST-00223,Late Delivery,70.4,5,Yes
TCK-000713,CUST-00281,Account Security,18.1,4,No
TCK-000714,CUST-03337,Wrong Item Sent,20.1,1,No
TCK-000715,CUST-00020,Late Delivery,44.8,4,Yes
TCK-000716,CUST-03242,Account Security,5.4,3,No
TCK-000717,CUST-01360,Late Delivery,13.0,3,Yes
TCK-000718,CUST-03463,Payment Issue,23.0,5,No
TCK-000719,CUST-01950,Damaged Item,39.3,2,No
TCK-000720,CUST-01873,Payment Issue,17.2,4,No
TCK-000721,CUST-00876,Damaged Item,32.4,2,No
TCK-000722,CUST-03186,Wrong Item Sent,23.9,4,Yes
TCK-000723,CUST-00706,Account Security,4.9,4,No
TCK-000724,CUST-01812,Damaged Item,14.6,2,No
TCK-000725,CUST-02934,Wrong Item Sent,15.1,4,No
TCK-000726,CUST-01574,Late Delivery,55.8,1,No
TCK-000727,CUST-01207,Late Delivery,70.4,2,Yes
TCK-000728,CUST-00620,Late Delivery,61.9,2,Yes
TCK-000729,CUST-03416,Late Delivery,17.9,1,Yes
TCK-000730,CUST-02669,Damaged Item,40.5,2,Yes
TCK-000731,CUST-01479,Late Delivery,64.3,1,Yes
TCK-000732,CUST-02627,Late Delivery,61.7,5,Yes
TCK-000733,CUST-01722,Account Security,2.6,5,No
TCK-000734,CUST-01626,Wrong Item Sent,8.5,3,No
TCK-000735,CUST-00713,Late Delivery,40.7,3,No
TCK-000736,CUST-03280,Late Delivery,43.6,1,Yes
TCK-000737,CUST-01206,Damaged Item,66.5,2,Yes
TCK-000738,CUST-02916,Damaged Item,28.9,1,Yes
TCK-000739,CUST-03427,Damaged Item,35.7,2,Yes
TCK-000740,CUST-00570,Late Delivery,27.8,4,Yes
TCK-000741,CUST-00339,Late Delivery,16.3,2,Yes
TCK-000742,CUST-01654,Wrong Item Sent,19.1,3,Yes
TCK-000743,CUST-00646,Wrong Item Sent,6.3,3,No
TCK-000744,CUST-01776,Damaged Item,63.3,3,Yes
TCK-000745,CUST-00742,Late Delivery,70.6,3,No
TCK-000746,CUST-02128,Wrong Item Sent,6.4,4,No
TCK-000747,CUST-02986,Wrong Item Sent,11.7,3,No
TCK-000748,CUST-02857,Late Delivery,38.1,3,Yes
TCK-000749,CUST-00213,Wrong Item Sent,5.9,5,Yes
TCK-000750,CUST-02398,Late Delivery,15.5,3,No
TCK-000751,CUST-02008,Late Delivery,22.6,2,Yes
TCK-000752,CUST-02277,Wrong Item Sent,1.9,4,No
TCK-000753,CUST-02516,Late Delivery,34.5,4,Yes
TCK-000754,CUST-01841,Account Security,17.8,3,Yes
TCK-000755,CUST-02376,Damaged Item,47.9,1,Yes
TCK-000756,CUST-01580,Late Delivery,57.5,3,No
TCK-000757,CUST-00887,Payment Issue,9.0,2,Yes
TCK-000758,CUST-02243,Late Delivery,34.5,4,Yes
TCK-000759,CUST-00349,Damaged Item,37.8,3,Yes
TCK-000760,CUST-02466,Damaged Item,64.1,4,No
TCK-000761,CUST-03016,Damaged Item,27.1,1,Yes
TCK-000762,CUST-01241,Refund Inquiry,9.0,4,No
TCK-000763,CUST-02932,Damaged Item,20.4,3,Yes
TCK-000764,CUST-02227,Account Security,9.8,3,No
TCK-000765,CUST-01690,Refund Inquiry,21.3,5,Yes
TCK-000766,CUST-00036,Late Delivery,16.4,1,Yes
TCK-000767,CUST-01543,Late Delivery,31.9,2,Yes
TCK-000768,CUST-01306,Damaged Item,64.1,3,No
TCK-000769,CUST-00290,Payment Issue,20.4,4,Yes
TCK-000770,CUST-00682,Account Security,5.8,4,No
TCK-000771,CUST-01172,Late Delivery,23.8,1,Yes
TCK-000772,CUST-01035,Late Delivery,47.1,3,No
TCK-000773,CUST-01871,Refund Inquiry,23.5,5,No
TCK-000774,CUST-01353,Damaged Item,41.9,2,Yes
TCK-000775,CUST-01355,Payment Issue,3.9,5,Yes
TCK-000776,CUST-03473,Payment Issue,10.1,4,No
TCK-000777,CUST-02735,Late Delivery,68.3,2,Yes
TCK-000778,CUST-03205,Wrong Item Sent,6.9,1,No
TCK-000779,CUST-02339,Account Security,23.0,5,No
TCK-000780,CUST-02395,Late Delivery,21.3,1,Yes
TCK-000781,CUST-03045,Damaged Item,46.7,1,Yes
TCK-000782,CUST-02252,Late Delivery,16.2,3,Yes
TCK-000783,CUST-02682,Payment Issue,3.5,4,No
TCK-000784,CUST-02736,Wrong Item Sent,4.4,4,No
TCK-000785,CUST-03378,Damaged Item,40.9,1,No
TCK-000786,CUST-01448,Wrong Item Sent,3.7,5,No
TCK-000787,CUST-00582,Late Delivery,25.5,1,Yes
TCK-000788,CUST-00063,Late Delivery,56.8,2,Yes
TCK-000789,CUST-00056,Account Security,1.3,4,No
TCK-000790,CUST-02121,Damaged Item,45.1,2,No
TCK-000791,CUST-01391,Wrong Item Sent,11.6,5,No
TCK-000792,CUST-02345,Payment Issue,14.2,1,No
TCK-000793,CUST-00447,Payment Issue,22.5,2,No
TCK-000794,CUST-00624,Account Security,11.4,2,No
TCK-000795,CUST-03373,Wrong Item Sent,13.2,3,Yes
TCK-000796,CUST-02782,Wrong Item Sent,8.2,2,Yes
TCK-000797,CUST-00181,Payment Issue,19.5,5,Yes
TCK-000798,CUST-02321,Late Delivery,26.0,5,Yes
TCK-000799,CUST-00802,Account Security,16.2,1,No
TCK-000800,CUST-02319,Refund Inquiry,2.5,4,No
TCK-000801,CUST-01465,Late Delivery,43.7,3,No
TCK-000802,CUST-00413,Late Delivery,32.9,1,No
TCK-000803,CUST-01372,Damaged Item,34.5,3,No
TCK-000804,CUST-02727,Late Delivery,71.1,2,Yes
TCK-000805,CUST-02517,Damaged Item,44.7,3,No
TCK-000806,CUST-00608,Late Delivery,37.4,1,No
TCK-000807,CUST-02909,Late Delivery,27.6,3,Yes
TCK-000808,CUST-03014,Payment Issue,16.0,4,Yes
TCK-000809,CUST-03062,Late Delivery,23.9,1,Yes
TCK-000810,CUST-01915,Refund Inquiry,12.0,4,No
TCK-000811,CUST-02616,Damaged Item,47.0,1,Yes
TCK-000812,CUST-02698,Wrong Item Sent,2.1,1,Yes
TCK-000813,CUST-01136,Late Delivery,17.9,1,No
TCK-000814,CUST-01529,Damaged Item,51.8,3,Yes
TCK-000815,CUST-00077,Refund Inquiry,20.8,4,No
TCK-000816,CUST-02920,Late Delivery,55.4,5,Yes
TCK-000817,CUST-02760,Wrong Item Sent,9.3,4,No
TCK-000818,CUST-02828,Damaged Item,50.7,1,Yes
TCK-000819,CUST-01151,Late Delivery,30.7,1,No
TCK-000820,CUST-00261,Account Security,7.1,4,No
TCK-000821,CUST-01607,Wrong Item Sent,7.7,2,Yes
TCK-000822,CUST-01921,Damaged Item,27.0,2,No
TCK-000823,CUST-00947,Late Delivery,60.9,2,Yes
TCK-000824,CUST-03391,Late Delivery,71.5,1,Yes
TCK-000825,CUST-02660,Wrong Item Sent,5.4,5,No
TCK-000826,CUST-02899,Wrong Item Sent,20.6,5,No
TCK-000827,CUST-00259,Late Delivery,32.3,2,Yes
TCK-000828,CUST-00813,Damaged Item,69.0,1,Yes
TCK-000829,CUST-00720,Late Delivery,50.4,2,No
TCK-000830,CUST-02498,Refund Inquiry,5.9,5,No
TCK-000831,CUST-02830,Refund Inquiry,20.9,4,No
TCK-000832,CUST-00383,Payment Issue,5.1,5,No
TCK-000833,CUST-00274,Damaged Item,44.9,3,Yes
TCK-000834,CUST-00991,Damaged Item,33.2,4,No
TCK-000835,CUST-02950,Damaged Item,36.9,1,Yes
TCK-000836,CUST-03136,Late Delivery,36.4,1,Yes
TCK-000837,CUST-03420,Damaged Item,66.4,2,No
TCK-000838,CUST-03219,Wrong Item Sent,21.7,5,No
TCK-000839,CUST-02903,Account Security,3.5,3,Yes
TCK-000840,CUST-01336,Payment Issue,17.0,5,No
TCK-000841,CUST-02377,Late Delivery,25.0,1,Yes
TCK-000842,CUST-00187,Late Delivery,46.8,4,No
TCK-000843,CUST-03375,Late Delivery,40.9,1,Yes
TCK-000844,CUST-03111,Wrong Item Sent,9.2,3,No
TCK-000845,CUST-03211,Late Delivery,67.7,2,Yes
TCK-000846,CUST-01869,Damaged Item,42.6,2,Yes
TCK-000847,CUST-02774,Wrong Item Sent,7.9,1,No
TCK-000848,CUST-00048,Late Delivery,21.0,1,Yes
TCK-000849,CUST-02660,Late Delivery,20.3,3,No
TCK-000850,CUST-00339,Late Delivery,19.4,3,Yes
TCK-000851,CUST-02140,Late Delivery,59.4,3,No
TCK-000852,CUST-03118,Late Delivery,57.2,2,Yes
TCK-000853,CUST-01671,Damaged Item,29.9,4,Yes
TCK-000854,CUST-02979,Wrong Item Sent,3.0,3,No
TCK-000855,CUST-00219,Late Delivery,46.5,1,Yes
TCK-000856,CUST-02136,Late Delivery,25.7,3,Yes
TCK-000857,CUST-00926,Late Delivery,66.6,1,Yes
TCK-000858,CUST-00508,Payment Issue,17.2,1,Yes
TCK-000859,CUST-02112,Damaged Item,42.0,1,Yes
TCK-000860,CUST-03333,Payment Issue,9.9,5,No
TCK-000861,CUST-00999,Damaged Item,62.4,2,Yes
TCK-000862,CUST-02211,Late Delivery,24.4,1,No
TCK-000863,CUST-01751,Payment Issue,19.8,4,No
TCK-000864,CUST-02155,Wrong Item Sent,18.3,5,No
TCK-000865,CUST-03478,Late Delivery,17.5,2,Yes
TCK-000866,CUST-00257,Account Security,23.6,1,No
TCK-000867,CUST-00742,Damaged Item,54.5,1,No
TCK-000868,CUST-01104,Late Delivery,56.5,3,Yes
TCK-000869,CUST-02450,Wrong Item Sent,15.8,5,No
TCK-000870,CUST-02313,Late Delivery,40.8,3,Yes
TCK-000871,CUST-02085,Late Delivery,22.2,1,Yes
TCK-000872,CUST-00805,Late Delivery,23.5,2,No
TCK-000873,CUST-03418,Wrong Item Sent,4.4,1,No
TCK-000874,CUST-02886,Account Security,5.4,4,No
TCK-000875,CUST-00618,Refund Inquiry,2.4,4,No
TCK-000876,CUST-01731,Late Delivery,56.4,1,Yes
TCK-000877,CUST-00571,Refund Inquiry,18.7,4,No
TCK-000878,CUST-03056,Wrong Item Sent,4.7,4,No
TCK-000879,CUST-00625,Late Delivery,56.2,3,No
TCK-000880,CUST-03330,Late Delivery,19.8,4,Yes
TCK-000881,CUST-01902,Payment Issue,8.8,3,No
TCK-000882,CUST-00573,Late Delivery,49.3,1,No
TCK-000883,CUST-01748,Payment Issue,7.0,4,No
TCK-000884,CUST-03031,Late Delivery,30.6,3,Yes
TCK-000885,CUST-03212,Late Delivery,51.4,1,Yes
TCK-000886,CUST-02140,Late Delivery,60.1,3,No
TCK-000887,CUST-00499,Refund Inquiry,4.0,4,No
TCK-000888,CUST-01517,Late Delivery,34.7,2,Yes
TCK-000889,CUST-02344,Late Delivery,46.4,1,Yes
TCK-000890,CUST-02432,Payment Issue,7.8,5,No
TCK-000891,CUST-03249,Damaged Item,66.0,1,Yes
TCK-000892,CUST-02531,Refund Inquiry,19.9,4,No
TCK-000893,CUST-02898,Wrong Item Sent,2.8,5,Yes
TCK-000894,CUST-01427,Late Delivery,59.6,1,Yes
TCK-000895,CUST-01749,Late Delivery,32.4,2,Yes
TCK-000896,CUST-01819,Payment Issue,7.6,4,Yes
TCK-000897,CUST-00158,Late Delivery,47.8,2,Yes
TCK-000898,CUST-00604,Wrong Item Sent,20.6,3,Yes
TCK-000899,CUST-02735,Damaged Item,46.2,1,Yes
TCK-000900,CUST-01117,Refund Inquiry,1.3,5,No
TCK-000901,CUST-02202,Account Security,6.2,3,No
TCK-000902,CUST-00537,Damaged Item,51.5,3,Yes
TCK-000903,CUST-02706,Wrong Item Sent,16.7,4,No
TCK-000904,CUST-00926,Damaged Item,58.5,1,No
TCK-000905,CUST-01141,Damaged Item,23.3,1,Yes
TCK-000906,CUST-01557,Late Delivery,26.3,1,No
TCK-000907,CUST-00321,Damaged Item,60.2,3,No
TCK-000908,CUST-02486,Payment Issue,1.5,4,No
TCK-000909,CUST-01216,Damaged Item,42.9,3,No
TCK-000910,CUST-00055,Damaged Item,31.9,1,Yes
TCK-000911,CUST-00270,Late Delivery,13.7,3,No
TCK-000912,CUST-02337,Late Delivery,61.5,2,Yes
TCK-000913,CUST-03274,Late Delivery,63.1,4,Yes
TCK-000914,CUST-02349,Account Security,14.4,4,Yes
TCK-000915,CUST-01672,Late Delivery,25.4,4,Yes
TCK-000916,CUST-01006,Refund Inquiry,18.4,4,No
TCK-000917,CUST-00190,Late Delivery,50.7,5,No
TCK-000918,CUST-03296,Late Delivery,71.1,3,No
TCK-000919,CUST-00536,Late Delivery,59.3,1,Yes
TCK-000920,CUST-02161,Payment Issue,3.9,5,No
TCK-000921,CUST-02064,Wrong Item Sent,17.6,4,No
